Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Notes,ID
Market buy,2020-12-03 8:05:41,IE00B1XNHC34,INRG,iShares Global Clean Energy,44.6762407,991.75,GBX,90.47546,,489.72,,,,,EOF625404786
Market buy,2020-12-03 10:20:35,IE00BKM4GZ66,IS3N,iShares Core MSCI EM IMI EUR,51,28.21,EUR,1,,1438.91,,,,,EOF625640146
Market buy,2020-12-03 10:20:36,IE00BKM4GZ66,IS3N,iShares Core MSCI EM IMI EUR,6.418217,28.22,EUR,1,,181.09,,,,,EOF625640149
Market buy,2020-12-03 10:20:36,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,245,58.77,EUR,1,,14398.65,,,,,EOF625640153
Market buy,2020-12-03 10:20:45,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,27.587116,58.77,EUR,1,,1621.35,,,,,EOF625640359
Market buy,2020-12-03 10:21:40,IE00BF4RFH31,IUSN,iShares MSCI World Small Cap,72.05764,5,EUR,1,,360,,,,,EOF625642005
Deposit,2020-12-07 10:45:50,,,,,,,,,20000,,,20000,Bank Transfer,6673c857-1c38-4dbb-80b5-e3dfc771dfac
Market buy,2020-12-07 10:53:54,IE00B4ND3602,SGLN,iShares Physical Gold,304,2697,GBX,91.2,,8990,,,,,EOF632077051
Market buy,2020-12-07 10:53:58,IE00B4ND3602,SGLN,iShares Physical Gold,34.15350385,2697,GBX,91.20001,,1010,,,,,EOF632077061
Market buy,2020-12-07 11:02:26,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,15.720261,59.05,EUR,1,,928.25,,,,,EOF632077713
Market buy,2020-12-07 11:02:26,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,135,59.05,EUR,1,,7971.75,,,,,EOF632077709
Market buy,2020-12-07 11:02:26,IE00BKM4GZ66,IS3N,iShares Core MSCI EM IMI EUR,31.673411,28.42,EUR,1,,900,,,,,EOF632077717
Market buy,2020-12-07 11:02:44,IE00BF4RFH31,IUSN,iShares MSCI World Small Cap,39.43217,5.07,EUR,1,,200,,,,,EOF632077733
Market sell,2020-12-22 11:27:45,IE00B4ND3602,SGLN,iShares Physical Gold,66,2726,GBX,91.09439,22.45,1975.05,,,,,EOF683413590
Market sell,2020-12-22 11:27:46,IE00B4ND3602,SGLN,iShares Physical Gold,8.3649731,2725,GBX,91.09442,2.75,250.23,,,,,EOF683413593
Market buy,2020-12-22 11:27:53,DE000A27Z304,BTCE,Bitcoin ETP,119.593163,18.61,EUR,1,,2225.27,,,,,EOF683414073
Market sell,2020-12-22 11:40:16,IE00B4ND3602,SGLN,iShares Physical Gold,100,2725,GBX,91.1272,31.85,2990.33,,,,,EOF683451711
Market buy,2020-12-22 11:40:16,DE000A27Z304,BTCE,Bitcoin ETP,179.593627,18.58,EUR,1,,3336.67,,,,,EOF683451719
Market sell,2020-12-22 11:40:16,IE00B4ND3602,SGLN,iShares Physical Gold,11.58660267,2724,GBX,91.12721,3.56,346.35,,,,,EOF683451714
Market sell,2020-12-30 8:08:09,DE000A27Z304,BTCE,Bitcoin ETP,299.18679,22.89,EUR,1,1287.64,6849.58,,,,,EOF718751408
Market buy,2020-12-30 8:08:10,IE00B4ND3602,SGLN,iShares Physical Gold,21.64947656,2714,GBX,90.55649,,648.84,,,,,EOF718751450
Market buy,2020-12-30 8:08:10,IE00B4ND3602,SGLN,iShares Physical Gold,42,2713,GBX,90.55649,,1258.29,,,,,EOF718751443
Market buy,2020-12-30 8:08:10,IE00B4ND3602,SGLN,iShares Physical Gold,144,2713,GBX,90.55649,,4314.12,,,,,EOF718751436
Market buy,2020-12-30 10:56:29,IE00B4ND3602,SGLN,iShares Physical Gold,21.01609499,2698,GBX,90.23861,,628.35,,,,,EOF720581990
Market buy,2020-12-30 10:57:22,IE00B1XNHC34,INRG,iShares Global Clean Energy,0.94507192,1186,GBX,90.24602,,12.42,,,,,EOF720735191
